B_T,Delta_inter_min_MHz
0.74,0.2376901761045307
0.7410000000000001,0.24248761852973066
0.742,0.2472850609549293
0.7430000000000001,0.2520825033801293
0.744,0.25687994580532836
0.7450000000000001,0.26167738823052833
0.746,0.26647483065572697
0.7470000000000001,0.27127227308092694
0.748,0.276069715506126
0.7490000000000001,0.280867157931326
0.75,0.2856646003565251
0.7510000000000001,0.2904620427817246
0.752,0.2952594852069237
0.7530000000000001,0.30005692763212366
0.754,0.30485437005732274
0.7550000000000001,0.3096518124825227
0.756,0.31444925490772135
0.7570000000000001,0.3192466973329213
0.758,0.3240441397581204
0.7590000000000001,0.3288415821833204
0.76,0.333639024608519
0.7610000000000001,0.338436467033719
0.762,0.3432339094589181
0.7630000000000001,0.34803135188411805
0.764,0.35282879430931713
0.7650000000000001,0.3576262367345171
0.766,0.36242367915971574
0.7670000000000001,0.3672211215849157
0.768,0.3720185640101148
0.7690000000000001,0.37681600643531477
0.77,0.3816134488605134
0.7710000000000001,0.3864108912857134
0.772,0.39120833371091246
0.7730000000000001,0.39600577613611243
0.774,0.40080321856131107
0.7750000000000001,0.40560066098651104
0.776,0.4103981034117101
0.7769999999999999,0.4151955458369092
0.778,0.4199929882621092
0.7789999999999999,0.4247904306873078
0.78,0.4295878731125078
0.7809999999999999,0.4343853155377069
0.782,0.43918275796290684
0.7829999999999999,0.4439802003881055
0.784,0.44877764281330546
0.7849999999999999,0.45357508523850454
0.786,0.4583725276637045
0.7869999999999999,0.46316997008890315
0.788,0.4679674125141031
0.7889999999999999,0.4727648549393022
0.79,0.4775622973645022
0.7909999999999999,0.48235973978970126
0.792,0.48715718221490123
0.7929999999999999,0.49195462464009987
0.794,0.49675206706529984
0.7949999999999999,0.5015495094904989
0.796,0.5063469519156989
0.7969999999999999,0.5111443943408975
0.798,0.5159418367660975
0.7989999999999999,0.5207392791912966
0.8,0.5255367216164966
0.8009999999999999,0.5303341640416952
0.802,0.5351316064668952
0.8029999999999999,0.5399290488920943
0.804,0.5447264913172942
0.8049999999999999,0.5495239337424933
0.806,0.5543213761676933
0.8069999999999999,0.5591188185928919
0.808,0.5639162610180919
0.8089999999999999,0.568713703443291
0.81,0.573511145868491
0.8109999999999999,0.5783085882936896
0.812,0.5831060307188896
0.813,0.5879034731440886
0.8140000000000001,0.5927009155692886
0.815,0.5974983579944873
0.8160000000000001,0.6022958004196872
0.817,0.6070932428448863
0.8180000000000001,0.6118906852700863
0.819,0.6166881276952854
0.8200000000000001,0.6214855701204853
0.821,0.626283012545684
0.8220000000000001,0.6310804549708839
0.823,0.635877897396083
0.8240000000000001,0.640675339821283
0.825,0.6454727822464816
0.8260000000000001,0.6502702246716816
0.827,0.6550676670968807
0.8280000000000001,0.6598651095220807
0.829,0.6646625519472797
0.8300000000000001,0.6694599943724797
0.831,0.6742574367976784
0.8320000000000001,0.6790548792228783
0.833,0.6838523216480774
0.8340000000000001,0.6886497640732774
0.835,0.693447206498476
0.8360000000000001,0.6982446489236764
