B_T,worst_MHz,p05_MHz,median_MHz,p95_MHz,best_MHz,limiting_index,limit_kappa_MHz,limit_gz,limit_Btip_T,limit_phi_deg,limit_Az_MHz,limit_Aperp_over_Az,limit_gperp_over_gz
1.0070000000000001,1.0767887702140797,1.0938190538529853,1.3563813502692028,1.5184652934673977,1.5186023629448755,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.008,1.0818154221215082,1.0988305841809052,1.3563948272412745,1.5232631540978674,1.523399843761581,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.009,1.086841657757759,1.1038417249797932,1.3564082806399256,1.5280610132063657,1.5281973244491383,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.01,1.0918674782478774,1.1088524773164408,1.3564217105160878,1.532858870788391,1.5329948050093662,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0110000000000001,1.0968928847223651,1.1138628422571402,1.3564351169291058,1.537656726854698,1.5377922854504504,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.012,1.1019178782985364,1.1188728208242993,1.3564484999531032,1.542454581417155,1.5425897657632959,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.013,1.106942460098253,1.1238824141108126,1.3574251230265872,1.5472524344801741,1.5473872459569975,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.014,1.1119666312397385,1.1288915686049221,1.3578409594188088,1.552050286045096,1.5521847260233699,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0150000000000001,1.1169903928439453,1.1339002614765605,1.3602432016459716,1.5568481361300202,1.5569822059687795,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.016,1.1220137460104525,1.1389085727393649,1.3611945070183538,1.561645984724055,1.5617796857959547,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.017,1.127036691846115,1.1439165034033068,1.3607240584562987,1.5664438318599196,1.5665771654967102,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.018,1.1320592314400528,1.1489240545086432,1.3582321809983569,1.571241677517196,1.571374645076503,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0190000000000001,1.1370813659113992,1.153931227066232,1.3542745632162223,1.57603952171944,1.5761721245380613,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.02,1.1421030963283556,1.1589380221117154,1.3518332505068429,1.5808373644588527,1.580969603884114,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.021,1.1471244237959581,1.16394444066691,1.347200258675457,1.5856352057640835,1.5857670831046562,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.022,1.152145349397415,1.1689504837324876,1.3442500782730349,1.5904330456280604,1.5905645622115117,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0230000000000001,1.1571658742068394,1.1739561523367228,1.3490977364322134,1.5952308840493288,1.5953620411919474,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.024,1.1621859993115322,1.1789614474571408,1.3539453062398934,1.6000287210540136,1.6001595200614247,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.025,1.1672057257733286,1.183966370133612,1.3588312185163431,1.6048265566320197,1.6049569988090298,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.026,1.1722250546686155,1.1889709213570767,1.3637630762252684,1.6096243908025827,1.6097544774438575,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
