label,kappa_abs_MHz,B_T,delta_inter_min_leading_MHz
current_49Ti,46.3738,1.652000000000001,1.3005535107289496
current_49Ti,46.3738,1.6540000000000008,1.3101484042908824
current_49Ti,46.3738,1.656000000000001,1.3197432978528179
current_49Ti,46.3738,1.6580000000000008,1.3293381914147506
current_49Ti,46.3738,1.660000000000001,1.338933084976686
current_49Ti,46.3738,1.6620000000000008,1.3485279785386188
current_49Ti,46.3738,1.664000000000001,1.3581228721005543
current_49Ti,46.3738,1.6660000000000008,1.367717765662487
current_49Ti,46.3738,1.668000000000001,1.3773126592244216
current_49Ti,46.3738,1.6700000000000008,1.3869075527863552
current_49Ti,46.3738,1.672000000000001,1.3965024463482907
current_49Ti,46.3738,1.6740000000000008,1.4060973399102226
current_49Ti,46.3738,1.676000000000001,1.415692233472158
current_49Ti,46.3738,1.6780000000000008,1.4252871270340917
current_49Ti,46.3738,1.680000000000001,1.434882020596027
current_49Ti,46.3738,1.6820000000000008,1.444476914157959
current_49Ti,46.3738,1.684000000000001,1.4540718077198944
current_49Ti,46.3738,1.6860000000000008,1.463666701281828
current_49Ti,46.3738,1.688000000000001,1.4732615948437617
current_49Ti,46.3738,1.6900000000000008,1.4828564884056954
current_49Ti,46.3738,1.692000000000001,1.4924513819676308
current_49Ti,46.3738,1.6940000000000008,1.5020462755295645
current_49Ti,46.3738,1.696000000000001,1.5116411690914981
current_49Ti,46.3738,1.6980000000000008,1.5212360626534318
current_49Ti,46.3738,1.700000000000001,1.5308309562153672
current_49Ti,46.3738,1.7020000000000008,1.5404258497772991
current_49Ti,46.3738,1.704000000000001,1.5500207433392346
current_49Ti,46.3738,1.7060000000000008,1.5596156369011682
current_49Ti,46.3738,1.708000000000001,1.5692105304631037
current_49Ti,46.3738,1.7100000000000009,1.5788054240250355
current_49Ti,46.3738,1.712000000000001,1.588400317586971
current_49Ti,46.3738,1.7140000000000009,1.5979952111489046
current_49Ti,46.3738,1.716000000000001,1.60759010471084
current_49Ti,46.3738,1.7180000000000009,1.617184998272772
current_49Ti,46.3738,1.720000000000001,1.6267798918347074
current_49Ti,46.3738,1.7220000000000009,1.636374785396641
current_49Ti,46.3738,1.724000000000001,1.6459696789585747
current_49Ti,46.3738,1.7260000000000009,1.6555645725205084
current_49Ti,46.3738,1.728000000000001,1.6472548196318417
current_49Ti,46.3738,1.7300000000000009,1.6376599260699098
current_49Ti,46.3738,1.732000000000001,1.6280650325079744
current_49Ti,46.3738,1.7340000000000009,1.6184701389460407
current_49Ti,46.3738,1.736000000000001,1.6088752453841053
